p,genotype,treatment,day,epi,,int1,,int2,,int3,,pet1,,pet2,,pet3,,pet4,,notes
M0001.5,M,0,28,23.38,11/13/14 11:38,8.77,11/13/14 11:38,5.27,11/13/14 11:38,1.83,11/13/14 11:38,33.94,11/13/14 11:38,28.32,11/13/14 11:39,13.63,11/13/14 11:39,1.27,11/13/14 11:39,
T0001.6,T,0,28,39.64,11/13/14 11:40,36.96,11/13/14 11:40,22.38,11/13/14 11:40,7.88,11/13/14 11:40,47.3,11/13/14 11:40,29.21,11/13/14 11:40,19.48,11/13/14 11:41,11.51,11/13/14 11:41,
T0001.7,T,0,28,40.28,11/13/14 11:42,29.86,11/13/14 11:42,17.57,11/13/14 11:42,5.14,11/13/14 11:42,43.57,11/13/14 11:42,25.26,11/13/14 11:43,19.03,11/13/14 11:43,4.5,11/13/14 11:43,
M0001.8,M,0,28,15.55,11/13/14 11:43,17.85,11/13/14 11:44,10.44,11/13/14 11:44,6.42,11/13/14 11:44,39.67,11/13/14 11:44,27.31,11/13/14 11:44,25.81,11/13/14 11:45,20.04,11/13/14 11:45,
T0031.1,T,0.003,28,40.15,11/13/14 11:49,26.7,11/13/14 11:49,28.74,11/13/14 11:49,3.83,11/13/14 11:49,48.17,11/13/14 11:50,28.9,11/13/14 11:50,11.23,11/13/14 11:50,3.52,11/13/14 11:51,
M0031.2,M,0.003,28,27.16,11/13/14 11:51,9.43,11/13/14 11:51,8.64,11/13/14 11:51,3.57,11/13/14 11:52,43.48,11/13/14 11:52,27.35,11/13/14 11:52,19.95,11/13/14 11:52,3.69,11/13/14 11:52,
M0031.3,M,0.003,28,23.81,11/13/14 11:53,14.9,11/13/14 11:53,5.96,11/13/14 11:53,1.86,11/13/14 11:53,39.75,11/13/14 11:53,27.61,11/13/14 11:54,9.9,11/13/14 11:54,1.75,11/13/14 11:54,
T0031.4,T,0.003,28,41,11/13/14 11:55,32.77,11/13/14 11:55,13.28,11/13/14 11:55,2.81,11/13/14 11:55,30.23,11/13/14 11:55,21.74,11/13/14 11:56,15.2,11/13/14 11:56,2.86,11/13/14 11:56,
M0031.5,M,0.003,28,15.62,11/13/14 11:56,14.67,11/13/14 11:56,12.07,11/13/14 11:57,8.89,11/13/14 11:57,43.05,11/13/14 11:57,29.91,11/13/14 11:57,25.84,11/13/14 11:58,13.27,11/13/14 11:58,
T0031.6,T,0.003,28,31.07,11/13/14 11:58,33.2,11/13/14 11:58,26.11,11/13/14 11:59,15.54,11/13/14 11:59,42.47,11/13/14 11:59,31.83,11/13/14 11:59,30.65,11/13/14 11:59,14.31,11/13/14 11:59,
